('ἐποιήσατʼ', 'ποιέω')
('πῆμʼ', 'πῆμα')
('γίνοιτʼ', 'γίγνομαι')
('δεξαίατʼ', 'δείκνυμι')
('ἀπηλαύνετʼ', 'ἀπελαύνω')
('πὰρʼ', '_')
('φασʼ', 'φημί')
('τοῖσιδʼ', 'ὅδε')
('Βάττʼ', 'Βάττος')
('ἀνέθηκʼ', 'ἀνατίθημι')
('τρίποδʼ', 'τρίπους')
('τάσδʼ', 'ὅδε')
('γλαῦκʼ', 'Γλαῦκος')
('μέμφοιτʼ', 'μέμφομαι')
('τῶνδʼ', 'ὅδε')
('ὀρθοῖτʼ', 'ὀρθόω')
('γενοίατʼ', 'γίγνομαι')
('κἆλλʼ', 'ἀλλά')
('φίλʼ', 'φίλος')
('ξεῖνʼ', 'ξένος')
('ἔχʼ', 'ἔχω')
('δοκεῦντʼ', 'δοκέω')
('ἁλλʼ', 'ἀλλά')
('λοχευθεῖσʼ', 'λοχέυω')
('νάματʼ', 'νᾶμα')
('νεβρίδʼ', 'νεβρίς')
('Ζῆνʼ', 'Ζεύς')
('σοφίσμαθʼ', 'σόφισμα')
('ἐξεκαυχῶνθʼ', 'ἐκκαυχάομαι')
('ᾤστρησʼ', 'οἰστράω')
('ἠνάγκασʼ', '_')
('τήνδʼ', 'ὅδε')
('δαίμονʼ', 'δαίμων')
('οὕνεκʼ', 'οὕνεκα')
('τἀπιχώριʼ', 'ἐπιχωριάζω')
('ἔχουσʼ', 'ἔχω')
('λιποῦσʼ', 'λείπω')
('ὁσιοῦσθʼ', 'ὁσιόω')
('Λύδιʼ', 'Λυδίας')
('τοιάδʼ', 'τοιόσδε')
('ἐπύργωσʼ', '_')
('φίλταθʼ', 'φίλτατος')
('κάμοιμʼ', 'κάμνω')
('νύκτʼ', 'νύξ')
('ἐπιλελήσμεθʼ', 'ἐπιλανθάνομαι')
('κεκτήμεθʼ', 'κτάομαι')
('διῄρηχʼ', 'διαιρέω')
('τῆσδʼ', 'ὅδε')
('ἄλλοσʼ', '_')
('πρόσθʼ', 'πρόσθεν')
('ἔτικτʼ', 'τίκτω')
('βακχεύοντʼ', 'Βακχεύω')
('χεῖρʼ', 'χείρ')
('τόνδʼ', 'ὅδε')
('καθῆσʼ', '_')
('ξένʼ', 'ξένος')
('Ἑλλάδʼ', 'Ἑλλάς')
('ἦλθʼ', 'ἔρχομαι')
('πῶμʼ', 'πῶμα')
('τἀγάθʼ', 'ἀγαθός')
('ἥρπασʼ', '_')
('ἤθελʼ', 'ἐθέλω')
('ἀντεμηχανήσαθʼ', 'ἀντιμηχανάομαι')
('οὖσʼ', 'εἰμί')
('κρείσσονʼ', 'κρείσσων')
('κομπάσαντʼ', 'κομπάζω')
('στέμματʼ', 'στέμμα')
('σχέτλιʼ', 'σχέτλιος')
('πρόβακχʼ', '_')
('δῶκʼ', 'δίδωμι')
('ἄκρανθʼ', 'ἄκραντος')
('πόδʼ', 'πούς')
('ἔπεμψʼ', 'πέμπω')
('θύρετρʼ', 'θύρετρα')
('εἰσέβησʼ', '_')
('ὄμμʼ', 'ὄμμα')
('ὄργιʼ', 'ὀργιάζω')
('ἄρρητʼ', 'ἄρρητος')
('ἀσκοῦντʼ', 'ἀσκέω')
('σεμνότητʼ', 'σεμνότης')
('κἀσεβοῦντʼ', 'ἀσεβέω')
('εἴφʼ', 'εἶπον')
('τοὔνομʼ', 'ὄνομα')
('καθείρξατʼ', 'κατείργω')
('στείχοιμʼ', 'στείχω')
('ἄποινʼ', 'ἄπειμι')
('πότνιʼ', 'Ποτνιαί')
('Διθύραμβʼ', 'διθύραμβος')
('γίγαντʼ', 'γίγας')
('Διόνυσʼ', '_')
('κλύετʼ', 'κλύω')
('πεπτώκατʼ', 'πίπτω')
('ᾔσθησθʼ', 'αἰσθάνομαι')
('μονάδʼ', 'μονάς')
('ἀφίκεσθʼ', 'ἀφικνέομαι')
('ἡνίκʼ', 'ἡνίκα')
('ἐξέσῳσʼ', 'ἐκσῴζω')
('καθύβρισʼ', '_')
('ἥψαθʼ', 'ἅπτω')
('καθεῖρξʼ', 'κατείργω')
('ἀνετίναξʼ', 'ἀνατινάσσω')
('ἀνῆψʼ', 'ἀνάπτω')
('ᾖσσʼ', '_')
('κᾆθʼ', 'εἶτα')
('φάσμʼ', 'φάσμα')
('αἰθέρʼ', 'αἰθήρ')
('προνώπιʼ', 'προνώπια')
('αὐτίχʼ', 'αὐτίκα')
('σώφρονʼ', 'σώφρων')
('Κιθαιρῶνʼ', '_')
('δέδοικʼ', 'δείδω')
('λέγʼ', 'λέγω')
('βοσκήματʼ', 'βόσκημα')
('ἦρχʼ', 'ἄρχω')
('νῶτʼ', 'νῶτον')
('μυκήμαθʼ', 'μύκημα')
('θαῦμʼ', 'θαῦμα')
('ἀνεστείλανθʼ', 'ἀναστέλλω')
('σύνδεσμʼ', 'σύνδεσμος')
('δορκάδʼ', 'δορκάς')
('λαβοῦσʼ', 'λαμβάνω')
('νάρθηκʼ', 'νάρθηξ')
('ἐξανῆκʼ', 'ἐξανίημι')
('συνεβάκχευʼ', 'Βακχεύω')
('ʼξεπήδησʼ', '_')
('θηρώμεθʼ', 'θηράω')
('ὕπʼ', 'ὑπό')
('πλεύρʼ', 'πλευρά')
('ῥιπτόμενʼ', 'ῥίπτω')
('ἔσταζʼ', 'ἐνστάζω')
('ἀναπεφυρμένʼ', 'φύρω')
('προσείχετʼ', 'προσέχω')
('ὅπλʼ', 'ὁπλή')
('θέαμʼ', 'θέαμα')
('ἀνῆκʼ', 'ἀνήκω')
('μηκέτʼ', 'μηκέτι')
('στεῖχʼ', 'στείχω')
('πεισόμεσθʼ', 'πάσχω')
('θύοιμʼ', 'θυόω')
('βακχεύητʼ', 'Βακχεύω')
('σφʼ', 'σφεῖς')
('εἰσίδοιμʼ', 'εἶδον')
('σάφʼ', 'σάφα')
('ἄγʼ', 'ἄγε')
('χρῶτʼ', 'χρώς')
('ἐλθόντʼ', 'ἔρχομαι')
('τεισώμεθʼ', 'τίνω')
('ῥίπτουσʼ', '_')
('ὄνθʼ', 'εἰμί')
('πόλισμʼ', 'πόλισμα')
('δῆτʼ', 'δῆτα')
('ἐξέστηχʼ', 'ἐξίστημι')
('τένοντʼ', 'τένων')
('εἶμʼ', 'εἶμι')
('ἁβρότητʼ', 'ἁβρότης')
('δείνʼ', 'δεινός')
('ἔκτεινʼ', 'ἐκτείνω')
('ἴτʼ', 'εἶμι')
('ἔμολʼ', 'βλώσκω')
('Βάκχιʼ', '_')
('εὐαγοῦντʼ', 'εὐαγέω')
('ἴθʼ', 'εἶμι')
('δῶμʼ', 'δῶμα')
('ἔσπειρʼ', 'σπείρω')
('καθῆντʼ', 'κάθημαι')
('ποικίλʼ', 'ποικίλος')
('ἔπʼ', 'ἐπί')
('ἴδοιμʼ', 'εἶδον')
('κλῶνʼ', 'κλών')
('ἔργματʼ', 'ἔργμα')
('βλάστημʼ', 'βλάστημα')
('φύλλʼ', 'φύλλον')
('ὠκύτητʼ', 'ὠκύτης')
('καθῆσθʼ', 'κάθημαι')
('τέρματʼ', 'τέρμα')
('ἔλεξʼ', 'λέγω')
('θῆρʼ', 'θήρα')
('ἑλίσσουσʼ', '_')
('φρονοῦσʼ', 'φρονέω')
('κατείχετʼ', 'κατέχω')
('ἐτύγχανʼ', 'τυγχάνω')
('πήξασʼ', '_')
('ἄπειμʼ', 'ἄπειμι')
('χέρʼ', 'χείρ')
('μάκαιρʼ', 'μάκαρ')
('κλῃζόμεθʼ', 'κλῄζω')
('κόρυθʼ', 'κόρυς')
('ἀνέπηλʼ', 'ἀναπάλλω')
('ματέρʼ', 'μήτηρ')
('τᾷδʼ', 'ὅδε')
('φέρουσʼ', 'φέρω')
('ἔλθεθʼ', 'ἔρχομαι')
('θηράσασʼ', '_')
('Ἀκτέωνʼ', '_')
('ἄκραντʼ', 'ἄκραντος')
('μείζονʼ', 'μέγας')
('ἀπώλεσʼ', '_')
('ὀριγνῷτʼ', 'ὀριγνάομαι')
('ἀλγήσετʼ', 'ἀλγέω')
('μενεῖτʼ', 'μένω')
('δόξετʼ', 'δοκέω')
('ἔθʼ', 'ἔτι')
('κἀποκρίναιʼ', 'ἀποκρίνω')
('λέγουσʼ', '_')
('τάλαινʼ', 'τάλας')
('δύστηνʼ', 'δύστηνος')
('ἀλήθειʼ', 'ἀλήθεια')
('πήδημʼ', 'πηδάω')
('ὤλετʼ', 'ὄλλυμι')
('ὤλεσʼ', 'ὄλλυμι')
('προσῆκʼ', 'προσήκω')
('κἄμʼ', 'ἐγώ')
('κατθανόνθʼ', 'καταθνήσκω')
('ἀνέβλεφʼ', 'ἀναβλέπω')
('φίλτατʼ', 'φίλτατος')
('τἄμʼ', 'ἐμός')
('ἐκθηριωθεῖσʼ', '_')
('ἔγνωθʼ', 'γιγνώσκω')
('εὐδαιμονεῖτʼ', 'εὐδαιμονέω')
('ἐμάθεθʼ', 'μανθάνω')
('μέλλεθʼ', 'μέλλω')
('δάμαρτʼ', 'δάμαρ')
('χαῖρʼ', 'χαίρω')
('ἄγετʼ', 'ἄγε')
('ληψόμεθʼ', 'λαμβάνω')
('δοκηθέντʼ', 'δοκέω')
('τοιόνδʼ', 'τοιόσδε')
('λέγοιμʼ', 'λέγω')
('δακρύοντʼ', 'δακρύω')
('δηλοῦνθʼ', 'δηλέομαι')
